# gapseq version: 1.1 8d4d2ce
# Sequence DB md5sum: 1139b8e (2022-02-11, Bacteria)
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0K9YT05	46.649	5.43e-97	315	99	NODE_498_length_30926_cov_43.4742 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22030	20876	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0K2Y373	41.688	1.16e-96	315	99	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	120906	119746	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0K2Y373	41.688	1.11e-96	315	99	NODE_924_length_18363_cov_191.136 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	14368	13208	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0K2Y373	41.688	1.11e-96	315	99	NODE_1029_length_18579_cov_304.051 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	4095	5255	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		sp|P76461|ATOB_ECOLI	49.231	7.55e-97	315	99	NODE_633_length_23858_cov_215.29 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8149	9309	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		sp|P14611|THIL_CUPNH	48.082	9.36e-97	315	99	NODE_503_length_30277_cov_128.889 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22075	20912	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		sp|P14611|THIL_CUPNH	48.082	9.26e-97	315	99	NODE_783_length_22675_cov_314.699 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8143	9306	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		sp|P14611|THIL_CUPNH	48.082	1.53e-96	314	99	NODE_498_length_30926_cov_43.4742 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22036	20873	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		sp|P14611|THIL_CUPNH	48.082	1.44e-96	314	99	NODE_633_length_23858_cov_215.29 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8143	9306	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0K2Y373	41.688	3.09e-96	313	99	NODE_41_length_97093_cov_16.3165 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	47160	48320	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090KUQ5	43.655	6.41e-97	313	99	NODE_5253_length_3875_cov_324.676 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1711	2877	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090KUQ5	43.655	5.69e-97	313	99	NODE_5618_length_3831_cov_16.3994 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1667	2833	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090KUQ5	43.655	5.64e-97	313	99	NODE_4704_length_3828_cov_204.407 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1664	2830	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090KUQ5	43.655	4.94e-96	313	99	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2165	999	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	46.900	4.17e-96	313	94	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	120906	119809	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	46.900	3.99e-96	313	94	NODE_924_length_18363_cov_191.136 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	14368	13271	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	46.900	3.99e-96	313	94	NODE_1029_length_18579_cov_304.051 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	4095	5192	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	46.900	3.00e-96	313	94	NODE_41_length_97093_cov_16.3165 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	47160	48257	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.784	1.70e-96	311	99	NODE_5253_length_3875_cov_324.676 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1711	2883	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.784	1.51e-96	311	99	NODE_5618_length_3831_cov_16.3994 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1667	2839	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.784	1.50e-96	311	99	NODE_4704_length_3828_cov_204.407 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1664	2836	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.784	1.25e-95	311	99	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2165	993	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A024GZ62	49.752	2.87e-95	311	97	NODE_651_length_23519_cov_211.078 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	15446	14259	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	44.279	1.86e-94	308	99	NODE_633_length_23858_cov_215.29 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8152	9312	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	44.030	7.27e-94	307	99	NODE_498_length_30926_cov_43.4742 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22027	20867	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.872	9.98e-94	306	99	NODE_783_length_22675_cov_314.699 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8143	9306	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.872	1.01e-93	306	99	NODE_503_length_30277_cov_128.889 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22075	20912	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0C7KCP9	45.918	1.46e-93	306	99	NODE_498_length_30926_cov_43.4742 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22036	20873	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0C7KCP9	45.918	1.42e-93	306	99	NODE_633_length_23858_cov_215.29 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8143	9306	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0C7KCP9	45.918	1.20e-93	306	99	NODE_503_length_30277_cov_128.889 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22075	20912	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0C7KCP9	45.918	1.19e-93	306	99	NODE_783_length_22675_cov_314.699 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8143	9306	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S6WZ08	55.357	4.80e-95	305	99	NODE_1579_length_13567_cov_15.8042 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	6949	6113	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S6WZ08	55.357	3.17e-95	305	99	NODE_109_length_75869_cov_133.923 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	26887	27723	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S6WZ08	55.357	3.14e-95	305	99	NODE_313_length_37923_cov_317.987 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	29668	28832	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0P6W948	42.268	3.29e-93	305	99	NODE_633_length_23858_cov_215.29 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8146	9303	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0P6W948	42.268	3.22e-93	305	99	NODE_503_length_30277_cov_128.889 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22072	20915	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0P6W948	42.268	3.19e-93	305	99	NODE_783_length_22675_cov_314.699 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8146	9303	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	43.781	2.90e-93	305	99	NODE_503_length_30277_cov_128.889 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22066	20906	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	43.781	2.87e-93	305	99	NODE_783_length_22675_cov_314.699 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8152	9312	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A099KTY5	41.602	4.31e-94	305	98	NODE_5253_length_3875_cov_324.676 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1720	2877	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A099KTY5	41.602	3.87e-94	305	98	NODE_5618_length_3831_cov_16.3994 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1676	2833	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A099KTY5	41.602	3.84e-94	305	98	NODE_4704_length_3828_cov_204.407 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1673	2830	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A099KTY5	41.602	2.50e-93	305	99	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2156	999	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	45.205	2.77e-94	305	92	NODE_5253_length_3875_cov_324.676 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1711	2793	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	45.205	2.49e-94	305	92	NODE_5618_length_3831_cov_16.3994 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1667	2749	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	45.205	2.47e-94	305	92	NODE_4704_length_3828_cov_204.407 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1664	2746	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A081PKT9	45.205	1.63e-93	305	94	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2165	1083	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0P6W948	42.268	3.87e-93	304	99	NODE_498_length_30926_cov_43.4742 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22033	20876	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.615	5.13e-93	304	99	NODE_498_length_30926_cov_43.4742 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22036	20873	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		tr|A5N3I5|A5N3I5_CLOK5	43.069	5.89e-93	304	99	NODE_109_length_75869_cov_133.923 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	26530	27723	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		tr|A5N3I5|A5N3I5_CLOK5	43.069	5.81e-93	304	99	NODE_313_length_37923_cov_317.987 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	30025	28832	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S6WZ08	55.000	3.07e-94	303	99	NODE_651_length_23519_cov_211.078 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	15095	14259	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	44.615	1.01e-92	303	99	NODE_633_length_23858_cov_215.29 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8143	9306	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		tr|A5N3I5|A5N3I5_CLOK5	43.069	9.70e-93	303	99	NODE_1579_length_13567_cov_15.8042 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	7306	6113	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0E2C1B1	46.787	7.72e-93	301	99	NODE_5253_length_3875_cov_324.676 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1711	2874	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0E2C1B1	46.787	6.96e-93	301	99	NODE_5618_length_3831_cov_16.3994 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1667	2830	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0E2C1B1	46.787	6.91e-93	301	99	NODE_4704_length_3828_cov_204.407 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1664	2827	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0E2C1B1	46.787	3.98e-92	301	99	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2165	1002	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090RED8	49.026	5.42e-93	300	99	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1892	999	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090RED8	49.026	1.16e-93	300	99	NODE_5253_length_3875_cov_324.676 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1984	2877	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090RED8	49.026	1.05e-93	300	99	NODE_5618_length_3831_cov_16.3994 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1940	2833	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A090RED8	49.026	1.04e-93	300	99	NODE_4704_length_3828_cov_204.407 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1937	2830	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0M1NZ85	42.785	3.42e-91	299	99	NODE_503_length_30277_cov_128.889 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22084	20912	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0M1NZ85	42.785	3.39e-91	299	99	NODE_783_length_22675_cov_314.699 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8134	9306	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	41.709	6.58e-92	299	99	NODE_5253_length_3875_cov_324.676 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1711	2880	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	41.709	5.96e-92	299	99	NODE_5618_length_3831_cov_16.3994 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1667	2836	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	41.709	5.91e-92	299	99	NODE_4704_length_3828_cov_204.407 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1664	2833	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0D8FRY3	41.709	3.16e-91	299	99	NODE_28_length_138615_cov_133.762 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2165	996	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
